epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.541,1.61935,3.97764,1.71465,0.10385,0.125,0.06809,0.03105,1.33851,5.20538,1.69471,0.0002,0.0002,0.0002
2,182.809,1.4211,2.35966,1.55413,0.51391,0.8125,0.67261,0.43709,1.26823,5.02729,1.84647,0.000411684,0.000411684,0.000411684
3,286.512,1.40081,1.71116,1.47337,0.49135,0.8125,0.5992,0.3729,1.32741,4.84629,1.89458,0.000614656,0.000614656,0.000614656
4,383.314,1.43932,1.62083,1.51902,0.17593,0.5625,0.27222,0.17628,1.54917,11.4578,2.48498,0.000808916,0.000808916,0.000808916
5,482.016,1.35167,1.38354,1.55395,0.75,0.375,0.50192,0.32684,1.42509,13.0393,4.36407,0.000994464,0.000994464,0.000994464
6,591.342,1.45676,1.30465,1.61757,0.12611,0.6875,0.21123,0.13506,1.72592,9.60841,2.35466,0.0011713,0.0011713,0.0011713
7,679.09,1.38594,1.35604,1.58558,0.83333,0.3125,0.44161,0.25709,1.37534,17.6432,2.81582,0.00133942,0.00133942,0.00133942
8,772.913,1.42608,1.28356,1.60485,0.76544,0.61269,0.62067,0.1954,2.41681,4.08781,3.46701,0.00149884,0.00149884,0.00149884
9,863.589,1.51987,1.31206,1.5984,0.48766,0.8125,0.55048,0.26928,1.93802,6.32391,2.99771,0.00164954,0.00164954,0.00164954
10,958.846,1.47239,1.31621,1.55396,0.07432,0.6875,0.06875,0.02528,2.18385,24.7327,3.23881,0.0016436,0.0016436,0.0016436
11,1053.11,1.36402,1.23099,1.53019,0.28709,0.75,0.43513,0.29637,1.55879,6.10635,2.6231,0.001604,0.001604,0.001604
12,1159.4,1.35605,1.14312,1.57616,0.71088,0.92258,0.77445,0.34356,1.54848,1.88809,1.87406,0.0015644,0.0015644,0.0015644
13,1258.8,1.35957,1.05151,1.52736,0.32015,0.4375,0.32899,0.2161,1.49057,2.21037,1.92099,0.0015248,0.0015248,0.0015248
14,1354.96,1.43265,1.14409,1.68939,0.37763,0.3125,0.34217,0.17242,1.57534,2.90501,2.22252,0.0014852,0.0014852,0.0014852
15,1448.76,1.30397,1.02538,1.49049,0.3482,0.9375,0.51096,0.25081,1.47979,2.74333,1.99899,0.0014456,0.0014456,0.0014456
16,1544.74,1.28202,0.99334,1.47319,0.85542,0.8125,0.84274,0.39225,1.59722,1.3655,1.9324,0.001406,0.001406,0.001406
17,1645.43,1.29772,0.97805,1.45737,0.74017,0.875,0.77576,0.33065,1.63881,2.0246,1.83542,0.0013664,0.0013664,0.0013664
18,1744.66,1.24726,0.90977,1.40209,0.6491,0.8125,0.64025,0.22249,1.72424,1.84482,2.04239,0.0013268,0.0013268,0.0013268
19,1840.32,1.2455,0.96071,1.43106,0.92736,0.9375,0.93361,0.50126,1.43427,0.82553,1.80518,0.0012872,0.0012872,0.0012872
20,1946.87,1.21291,0.87762,1.4428,0.93159,0.9375,0.96152,0.47761,1.18353,0.9615,1.43276,0.0012476,0.0012476,0.0012476
21,2046.65,1.1803,0.97069,1.38854,0.6929,0.84691,0.71879,0.3843,1.25912,1.19525,1.58657,0.001208,0.001208,0.001208
22,2141.31,1.26841,0.93528,1.41837,0.38995,0.6875,0.41943,0.25004,1.51966,2.45913,1.93299,0.0011684,0.0011684,0.0011684
23,2234.54,1.15419,0.92411,1.43896,0.30315,0.67993,0.35882,0.1668,1.86546,4.46862,2.25148,0.0011288,0.0011288,0.0011288
24,2346.47,1.19481,0.83907,1.34884,0.5175,0.75,0.59365,0.30997,1.55248,2.53518,1.93891,0.0010892,0.0010892,0.0010892
25,2446.58,1.08312,0.83314,1.32105,0.96415,0.9375,0.9367,0.50978,1.33803,1.06859,1.65632,0.0010496,0.0010496,0.0010496
26,2544.77,1.09684,0.79258,1.32037,0.75428,0.8125,0.74441,0.49408,1.47686,0.94192,1.83766,0.00101,0.00101,0.00101
27,2639.1,1.20659,0.82658,1.35887,0.86148,0.5,0.65862,0.4293,1.50829,1.32544,1.92155,0.0009704,0.0009704,0.0009704
28,2734.05,1.13444,0.79081,1.39974,0.66438,0.619,0.59484,0.46619,1.39763,1.07778,1.64437,0.0009308,0.0009308,0.0009308
29,2830.95,1.04882,0.7629,1.34237,0.92054,0.875,0.87735,0.52888,1.43517,1.23516,1.65322,0.0008912,0.0008912,0.0008912
30,2926.46,1.04443,0.74833,1.31802,0.58496,0.61706,0.58335,0.37714,1.38842,1.65178,1.84167,0.0008516,0.0008516,0.0008516
31,3023.16,1.10311,0.77902,1.33033,0.67326,0.8125,0.7339,0.528,1.15593,0.94118,1.49645,0.000812,0.000812,0.000812
32,3123.06,1.04005,0.78339,1.32275,0.85639,0.8125,0.82007,0.58305,1.12086,0.60309,1.43551,0.0007724,0.0007724,0.0007724
33,3222.51,0.99792,0.71715,1.26387,0.8625,0.8125,0.79703,0.60512,1.10841,0.53961,1.44208,0.0007328,0.0007328,0.0007328
34,3318.34,0.97691,0.75074,1.2752,0.85871,0.8125,0.78338,0.54159,1.2576,0.66339,1.68986,0.0006932,0.0006932,0.0006932
35,3410.42,0.897,0.66643,1.20213,0.76463,0.625,0.69715,0.48172,1.30996,1.46718,1.77894,0.0006536,0.0006536,0.0006536
36,3519.49,0.90346,0.65987,1.22294,0.88524,0.8125,0.78978,0.55263,1.22655,0.64532,1.63014,0.000614,0.000614,0.000614
37,3617.87,0.93034,0.64932,1.26692,0.93073,0.875,0.88365,0.57908,1.2223,0.59342,1.55506,0.0005744,0.0005744,0.0005744
38,3713.49,1.01627,0.67635,1.26875,0.87442,0.875,0.86718,0.57242,1.23551,0.63469,1.64669,0.0005348,0.0005348,0.0005348
39,3805.93,0.96618,0.63915,1.25102,0.85331,0.8125,0.80001,0.55896,1.28273,0.61452,1.65235,0.0004952,0.0004952,0.0004952
40,3898.06,0.9205,0.62169,1.21311,0.86316,0.8125,0.79879,0.58473,1.22757,0.61764,1.45834,0.0004556,0.0004556,0.0004556
41,4006.93,0.88769,0.72302,1.27666,0.93011,0.875,0.8675,0.55998,1.30379,0.63071,1.53559,0.000416,0.000416,0.000416
42,4100.66,0.83812,0.55937,1.22133,0.86259,0.8125,0.79727,0.56752,1.26013,0.63426,1.50674,0.0003764,0.0003764,0.0003764
43,4196.12,0.83767,0.57068,1.28748,0.86257,0.8125,0.80298,0.58566,1.24306,0.59689,1.53157,0.0003368,0.0003368,0.0003368
44,4294.46,0.81301,0.52619,1.20154,0.86478,0.8125,0.80992,0.54126,1.36315,0.63557,1.70896,0.0002972,0.0002972,0.0002972
45,4388.96,0.76385,0.52145,1.22564,0.79785,0.75,0.7445,0.54355,1.39232,0.63318,1.79131,0.0002576,0.0002576,0.0002576
46,4479.86,0.79457,0.52457,1.18494,0.73028,0.6875,0.68747,0.5318,1.4173,0.63828,1.86134,0.000218,0.000218,0.000218
47,4572.91,0.8107,0.52544,1.18917,0.86366,0.8125,0.8175,0.56593,1.33702,0.62665,1.64471,0.0001784,0.0001784,0.0001784
48,4673.15,0.73002,0.49916,1.14841,0.99457,0.9375,0.94729,0.58528,1.24875,0.59474,1.52508,0.0001388,0.0001388,0.0001388
49,4769.9,0.7751,0.48504,1.16228,0.99428,0.9375,0.9476,0.5939,1.23226,0.57897,1.53898,9.92e-05,9.92e-05,9.92e-05
50,4865.66,0.72372,0.47658,1.20875,0.92821,0.875,0.86928,0.58538,1.2621,0.56625,1.61488,5.96e-05,5.96e-05,5.96e-05
